1427360400	25.55	
1427364000	25.70	
1427367600	25.85	
1427371200	26.62	
1427374800	28.42	
1427378400	30.24	
1427382000	31.90	
1427385600	34.33	
1427389200	36.97	
1427392800	39.83	
1427396400	40.43	
1427400000	40.14	
1427403600	38.63	
1427407200	35.93	
1427410800	32.83	
1427414400	29.68	
1427418000	28.21	
1427421600	27.30	
1427425200	26.66	
1427428800	25.71	
1427432400	25.10	
1427436000	24.76	
1427439600	24.02	
1427443200	23.19	
1427446800	22.52	
1427450400	22.38	
1427454000	22.86	
1427457600	24.72	
1427461200	28.87	
1427464800	33.93	
1427468400	38.26	
1427472000	41.56	
1427475600	43.60	
1427479200	44.57	
1427482800	44.91	
1427486400	44.23	
1427490000	42.38	
1427493600	39.67	
1427497200	35.94	
1427500800	32.72	
1427504400	30.81	
1427508000	29.16	
1427511600	27.66	
1427515200	26.55	
1427518800	25.70	
1427522400	24.90	
1427526000	24.26	
1427529600	23.74	
1427533200	23.30	
1427536800	22.99	
1427540400	23.38	
1427544000	26.21	
1427547600	30.70	
1427551200	35.65	
1427554800	40.25	
1427558400	43.70	
1427562000	45.79	
1427565600	46.93	
1427569200	47.16	
1427572800	46.34	
1427576400	44.45	
1427580000	41.58	
1427583600	36.91	
1427587200	34.26	
1427590800	31.92	
1427594400	30.17	
1427598000	28.97	
1427601600	27.72	
1427605200	26.44	
1427608800	25.40	
1427612400	24.70	
1427616000	24.11	
1427619600	23.57	
1427623200	23.01	
1427626800	23.25	
1427630400	26.00	
1427634000	30.81	
1427637600	35.83	
1427641200	40.89	
1427644800	44.68	
1427648400	46.74	
1427652000	47.57	
1427655600	46.92	
1427659200	44.99	
1427662800	42.70	
1427666400	39.63	
1427670000	36.70	
1427673600	34.42	
1427677200	32.87	
1427680800	31.44	
1427684400	30.24	
1427688000	29.83	
1427691600	29.52	
1427695200	29.17	
1427698800	28.53	
1427702400	27.51	
1427706000	26.43	
1427709600	25.47	
1427713200	24.95	
1427716800	25.68	
1427720400	28.33	
1427724000	32.03	
1427727600	35.79	
1427731200	38.04	
1427734800	38.91	
1427738400	38.83	
1427742000	38.38	
1427745600	38.02	
1427749200	35.95	
1427752800	33.66	
1427756400	31.12	
1427760000	28.79	
1427763600	26.63	
1427767200	24.83	
1427770800	23.47	
1427774400	22.54	
1427778000	21.72	
1427781600	20.91	
1427785200	20.17	
1427788800	19.51	
1427792400	18.87	
1427796000	18.36	
1427799600	18.75	
1427803200	21.45	
1427806800	25.91	
1427810400	31.31	
1427814000	36.24	
1427817600	39.53	
1427821200	41.46	
1427824800	43.12	
1427828400	43.96	
1427832000	43.16	
1427835600	41.09	
1427839200	38.22	
1427842800	35.32	
1427846400	33.06	
1427850000	31.06	
1427853600	29.07	
1427857200	27.22	
1427860800	25.64	
1427864400	24.34	
1427868000	23.19	
1427871600	22.26	
1427875200	21.68	
1427878800	21.27	
1427882400	20.88	
1427886000	21.11	
1427889600	23.63	
1427893200	27.95	
1427896800	32.87	
1427900400	37.23	
1427904000	41.15	
1427907600	44.20	
1427911200	46.32	
1427914800	47.44	
1427918400	47.13	
1427922000	45.45	
1427925600	42.63	
1427929200	39.06	
1427932800	36.06	
1427936400	34.30	
1427940000	32.66	
1427943600	31.56	
1427947200	29.58	
1427950800	27.28	
1427954400	25.32	
1427958000	23.95	
1427961600	22.90	
1427965200	22.29	
1427968800	21.55	
1427972400	21.53	
1427976000	24.57	
1427979600	29.51	
1427983200	34.45	
1427986800	39.15	
1427990400	43.05	
1427994000	45.75	
1427997600	47.80	
1428001200	48.19	
1428004800	47.16	
1428008400	45.29	
1428012000	42.44	
1428015600	39.10	
1428019200	36.24	
1428022800	33.42	
1428026400	31.63	
1428030000	30.77	
1428033600	30.09	
1428037200	28.60	
1428040800	27.00	
1428044400	25.74	
1428048000	24.63	
1428051600	23.35	
1428055200	22.31	
1428058800	22.51	
1428062400	25.33	
1428066000	29.86	
1428069600	34.99	
1428073200	39.29	
1428076800	42.04	
1428080400	43.75	
1428084000	44.51	
1428087600	44.35	
1428091200	43.56	
1428094800	41.80	
1428098400	39.29	
1428102000	36.33	
1428105600	33.70	
1428109200	31.37	
1428112800	29.58	
1428116400	27.89	
1428120000	26.61	
1428123600	25.57	
1428127200	24.71	
1428130800	24.32	
1428134400	24.07	
1428138000	23.43	
1428141600	22.60	
1428145200	22.62	
1428148800	25.04	
1428152400	29.14	
1428156000	33.92	
1428159600	38.92	
1428163200	42.46	
1428166800	44.46	
1428170400	45.29	
1428174000	45.31	
1428177600	44.45	
1428181200	42.42	
1428184800	39.71	
1428188400	36.88	
1428192000	34.41	
1428195600	32.11	
1428199200	29.96	
1428202800	28.23	
1428206400	28.03	
1428210000	27.98	
1428213600	27.63	
1428217200	27.53	
1428220800	27.19	
1428224400	26.29	
1428228000	25.66	
1428231600	25.97	
1428235200	27.08	
1428238800	29.12	
1428242400	33.28	
1428246000	37.24	
1428249600	39.11	
1428253200	40.37	
1428256800	39.21	
1428260400	37.39	
1428264000	35.83	
1428267600	34.54	
1428271200	33.44	
1428274800	32.25	
1428278400	31.31	
1428282000	30.62	
1428285600	30.17	
1428289200	29.79	
1428292800	29.43	
1428296400	29.25	
1428300000	28.76	
1428303600	27.24	
1428307200	26.51	
1428310800	26.86	
1428314400	26.93	
1428318000	26.24	
1428321600	27.23	
1428325200	29.13	
1428328800	31.61	
1428332400	34.91	
1428336000	37.54	
1428339600	39.41	
1428343200	40.56	
1428346800	41.52	
1428350400	41.09	
1428354000	39.49	
1428357600	36.94	
1428361200	35.00	
1428364800	33.85	
