1427360400	24.53	
1427364000	24.53	
1427367600	24.62	
1427371200	25.41	
1427374800	27.19	
1427378400	28.82	
1427382000	30.27	
1427385600	32.33	
1427389200	34.16	
1427392800	35.73	
1427396400	36.94	
1427400000	36.70	
1427403600	35.36	
1427407200	33.24	
1427410800	30.59	
1427414400	27.97	
1427418000	26.75	
1427421600	26.06	
1427425200	25.45	
1427428800	24.64	
1427432400	24.13	
1427436000	23.74	
1427439600	23.02	
1427443200	22.22	
1427446800	21.55	
1427450400	21.39	
1427454000	21.63	
1427457600	23.13	
1427461200	26.59	
1427464800	31.08	
1427468400	35.18	
1427472000	38.50	
1427475600	40.71	
1427479200	42.10	
1427482800	42.79	
1427486400	42.04	
1427490000	40.19	
1427493600	37.50	
1427497200	34.13	
1427500800	31.23	
1427504400	29.67	
1427508000	28.29	
1427511600	26.92	
1427515200	25.79	
1427518800	24.86	
1427522400	24.08	
1427526000	23.42	
1427529600	22.86	
1427533200	22.45	
1427536800	22.02	
1427540400	22.26	
1427544000	24.83	
1427547600	28.82	
1427551200	33.21	
1427554800	37.49	
1427558400	40.85	
1427562000	43.21	
1427565600	44.57	
1427569200	44.77	
1427572800	44.08	
1427576400	42.06	
1427580000	39.32	
1427583600	35.89	
1427587200	32.68	
1427590800	30.47	
1427594400	28.99	
1427598000	27.99	
1427601600	26.97	
1427605200	25.75	
1427608800	24.71	
1427612400	23.87	
1427616000	23.15	
1427619600	22.55	
1427623200	22.02	
1427626800	22.39	
1427630400	24.94	
1427634000	29.22	
1427637600	34.16	
1427641200	38.77	
1427644800	42.45	
1427648400	44.52	
1427652000	45.25	
1427655600	44.53	
1427659200	42.64	
1427662800	40.34	
1427666400	37.55	
1427670000	34.89	
1427673600	32.83	
1427677200	31.49	
1427680800	29.99	
1427684400	28.96	
1427688000	28.61	
1427691600	28.35	
1427695200	28.00	
1427698800	27.39	
1427702400	26.48	
1427706000	25.41	
1427709600	24.52	
1427713200	24.00	
1427716800	24.76	
1427720400	27.24	
1427724000	30.44	
1427727600	34.28	
1427731200	36.29	
1427734800	37.06	
1427738400	37.20	
1427742000	36.79	
1427745600	35.92	
1427749200	34.23	
1427752800	32.18	
1427756400	29.85	
1427760000	27.83	
1427763600	26.06	
1427767200	24.31	
1427770800	22.77	
1427774400	21.78	
1427778000	20.87	
1427781600	20.00	
1427785200	19.21	
1427788800	18.61	
1427792400	18.06	
1427796000	17.53	
1427799600	17.99	
1427803200	20.70	
1427806800	24.98	
1427810400	30.12	
1427814000	34.77	
1427817600	37.64	
1427821200	39.32	
1427824800	40.70	
1427828400	41.33	
1427832000	40.44	
1427835600	38.53	
1427839200	35.99	
1427842800	33.48	
1427846400	31.49	
1427850000	29.90	
1427853600	28.06	
1427857200	26.29	
1427860800	24.71	
1427864400	23.34	
1427868000	22.26	
1427871600	21.49	
1427875200	20.88	
1427878800	20.51	
1427882400	20.30	
1427886000	20.50	
1427889600	22.97	
1427893200	27.09	
1427896800	31.71	
1427900400	35.84	
1427904000	39.34	
1427907600	42.36	
1427911200	44.39	
1427914800	45.31	
1427918400	44.72	
1427922000	43.16	
1427925600	40.48	
1427929200	37.27	
1427932800	34.58	
1427936400	32.79	
1427940000	31.54	
1427943600	30.00	
1427947200	27.88	
1427950800	25.71	
1427954400	24.23	
1427958000	23.19	
1427961600	22.09	
1427965200	21.27	
1427968800	20.54	
1427972400	20.57	
1427976000	23.19	
1427979600	27.58	
1427983200	32.37	
1427986800	37.03	
1427990400	40.72	
1427994000	43.54	
1427997600	45.63	
1428001200	46.25	
1428004800	45.22	
1428008400	43.33	
1428012000	40.51	
1428015600	37.38	
1428019200	34.91	
1428022800	32.72	
1428026400	31.05	
1428030000	29.86	
1428033600	28.99	
1428037200	27.54	
1428040800	26.09	
1428044400	24.76	
