x-axis,1,2
second,Volt,Volt
-16.00E-03,-1.29082E+00,+10.24141E+00
-15.00E-03,-1.28887E+00,+10.28828E+00
-14.00E-03,-1.28887E+00,+10.29219E+00
-13.00E-03,-1.28887E+00,+10.29219E+00
-12.00E-03,-1.28887E+00,+10.29219E+00
-11.00E-03,-1.27129E+00,+10.29609E+00
-10.00E-03,-1.24492E+00,+10.34688E+00
-9.00E-03,-1.24492E+00,+10.34688E+00
-8.00E-03,-1.24492E+00,+10.34688E+00
-7.00E-03,-1.24590E+00,+10.34688E+00
-6.00E-03,-1.20781E+00,+10.35078E+00
-5.00E-03,-1.17168E+00,+10.35859E+00
-4.00E-03,-1.17168E+00,+10.35859E+00
-3.00E-03,-1.17168E+00,+10.35859E+00
-2.00E-03,-1.17168E+00,+10.35859E+00
-1.00E-03,-737.11E-03,+10.31953E+00
+0.0E+00,-1.08965E+00,-168.75E-03
+1.00E-03,-1.08965E+00,-168.75E-03
+2.00E-03,-1.08965E+00,-168.75E-03
+3.00E-03,-1.08965E+00,-168.75E-03
+4.00E-03,-364.06E-03,-168.75E-03
+5.00E-03,+263.87E-03,-168.75E-03
+6.00E-03,+262.89E-03,-168.75E-03
+7.00E-03,+261.91E-03,-168.75E-03
+8.00E-03,+258.98E-03,-168.75E-03
+9.00E-03,+257.03E-03,-168.75E-03
+10.00E-03,+256.05E-03,-168.75E-03
+11.00E-03,+255.08E-03,-168.75E-03
+12.00E-03,+255.08E-03,-168.75E-03
+13.00E-03,+256.05E-03,-168.75E-03
+14.00E-03,+244.34E-03,-157.03E-03
+15.00E-03,+237.50E-03,-117.97E-03
+16.00E-03,+237.50E-03,-117.97E-03
+17.00E-03,+237.50E-03,-117.97E-03
+18.00E-03,+237.50E-03,-117.97E-03
+19.00E-03,+234.57E-03,-98.44E-03
+20.00E-03,+232.62E-03,-67.19E-03
+21.00E-03,+232.62E-03,-67.19E-03
+22.00E-03,+232.62E-03,-67.19E-03
+23.00E-03,+232.62E-03,-67.19E-03
+24.00E-03,+258.01E-03,-39.84E-03
+25.00E-03,+264.84E-03,-12.50E-03
+26.00E-03,+263.87E-03,-12.50E-03
+27.00E-03,+263.87E-03,-12.50E-03
+28.00E-03,+263.87E-03,-12.50E-03
+29.00E-03,+279.49E-03,+18.75E-03
+30.00E-03,+281.45E-03,+38.28E-03
+31.00E-03,+281.45E-03,+38.28E-03
+32.00E-03,+281.45E-03,+38.28E-03
+33.00E-03,+281.45E-03,+38.28E-03
+34.00E-03,+281.45E-03,+77.34E-03
